Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,speaker
0.0,-441.8282,108.78032,-39.301502,13.038117,-7.9200964,0.33077717,-12.241232,-5.9163713,-7.1440477,-10.249003,-6.7500887,-11.448826,-5.200335,-12.812038,-5.6416755,-4.4172015,-11.39835,-6.66225,-4.016273,-8.04892,-10.781565,-7.520801,-7.893211,-6.2042294,-4.6755624,-7.9681873,-6.780587,-4.7013054,-6.6130357,-5.4374304,-5.31095,-5.3984427,-2.8091404,-4.0794535,-3.3689392,-2.7204397,-1.6162384,-1.3306998,-3.7420762,-2.7631142,0.0
1.0,-502.2908,120.48119,-41.442104,7.8020477,-4.1961303,-3.2281291,-9.342909,-5.552614,-6.2863364,-9.516412,-7.0604277,-10.360828,-6.874337,-13.910627,-5.681044,-4.9499154,-10.130634,-6.2199774,-7.1492205,-9.07995,-11.7382345,-8.420606,-7.6375885,-6.840715,-5.33062,-8.053097,-6.339457,-4.8388395,-5.7134194,-4.538439,-4.7361336,-4.050513,-2.543969,-3.9531333,-3.7173386,-2.800668,-2.1432424,-2.9878414,-3.987376,-3.1356878,0.0
2.0,-444.90686,110.27546,-38.679363,9.555197,-5.9848523,-1.3880701,-11.711202,-5.483926,-8.392405,-10.402054,-6.6526113,-12.233431,-5.5061383,-13.448267,-6.2885103,-4.8172154,-11.019015,-6.4765587,-5.211754,-7.6626263,-10.582907,-7.4194465,-7.476124,-6.9509926,-5.164101,-7.3968625,-6.360187,-4.0956454,-5.5136757,-5.0803175,-5.065335,-5.037946,-3.6127813,-4.542428,-3.3605824,-2.1348574,-1.0668854,-2.193636,-3.2403913,-2.2103722,0.0
3.0,-473.0158,117.9797,-37.80369,8.889762,-3.1898298,-4.38193,-12.282817,-5.3751664,-6.7640085,-10.546443,-7.43443,-10.922723,-6.2821975,-12.764038,-4.943471,-5.226334,-11.767155,-7.466719,-6.2963576,-8.945035,-11.527996,-7.693478,-8.123536,-6.654109,-5.255543,-7.8145704,-6.715225,-5.683626,-6.026342,-5.4891768,-4.9664416,-4.59117,-3.3619897,-4.2211385,-4.743298,-3.1155562,-1.5359136,-2.4677062,-3.2923317,-2.6751432,0.0
4.0,-475.09906,111.17782,-41.717567,8.0757065,-5.0196633,-4.356465,-14.044315,-2.2508287,-7.4214435,-10.3132515,-5.8819127,-11.182321,-5.8580003,-14.097224,-4.043869,-4.4419527,-11.387727,-6.0407295,-2.5691566,-7.4054484,-13.809296,-8.391988,-8.969456,-7.2041936,-5.151775,-6.7324333,-6.372242,-5.601199,-5.1294837,-5.851508,-5.260421,-5.546229,-3.2046556,-3.3306673,-3.674706,-2.0216088,-1.5058441,-2.7500083,-4.1447706,-2.2197304,0.0
5.0,-473.3993,112.87728,-40.218758,8.997249,-1.1513892,-5.6559224,-12.353963,-2.0600417,-7.056036,-13.667499,-6.8002815,-8.342394,-10.35065,-15.487206,-3.1631284,-6.746528,-10.116853,-6.0257187,-5.0596275,-6.9852395,-12.902854,-6.501184,-8.141812,-7.4505734,-6.2035127,-8.664774,-5.141031,-4.7790556,-5.4379563,-6.296803,-4.9555464,-5.4425707,-3.6067889,-2.0990112,-4.1761737,-2.245344,-1.6332297,-2.6261053,-4.0474234,-3.5151646,0.0
6.0,-465.3476,110.28679,-39.65147,8.445544,-4.284179,-5.5584235,-14.0866585,-1.5196204,-7.029539,-12.699606,-5.232214,-9.022554,-7.496394,-15.407549,-3.2840815,-4.692907,-11.321433,-6.841629,-4.720983,-6.212781,-13.072177,-6.830432,-7.270192,-6.7955747,-5.368274,-7.2231207,-4.9541373,-6.047097,-4.817151,-6.0816274,-5.382418,-6.268101,-4.9297113,-1.5764524,-4.5315514,-1.9700526,-0.71262485,-2.2497385,-3.6444721,-3.8243942,0.0
7.0,-467.5982,118.73418,-40.969345,8.128124,-4.953415,-4.798862,-12.726934,-3.3510048,-9.095619,-13.8745,-6.0857415,-9.657455,-10.875732,-15.328697,-4.126482,-6.6398845,-10.342394,-8.5205,-5.9654202,-6.312495,-12.9668455,-8.666552,-7.5818877,-6.4155526,-7.3788314,-6.4915123,-5.02617,-6.427062,-4.6458583,-6.7636113,-5.897091,-5.2343698,-3.3947988,-2.2215412,-3.475726,-0.9773629,-1.5094905,-2.104471,-2.821597,-3.5312693,0.0
8.0,-472.57895,113.877686,-37.138874,4.175767,-0.22207305,-6.506543,-12.125183,-6.0833125,-8.853825,-12.831744,-7.183437,-7.307925,-9.163409,-13.580136,-2.7331052,-6.177036,-11.699932,-6.9739904,-4.850858,-7.1454296,-11.891879,-7.229325,-7.601679,-6.9650726,-6.350731,-9.145775,-7.2576737,-6.1923947,-5.9638243,-5.55558,-4.337483,-4.465732,-3.409603,-3.7882862,-5.0223475,-2.487806,-1.840393,-2.7819996,-3.3964055,-3.3281515,0.0
9.0,-443.81357,120.631905,-39.860035,5.4677033,-4.1027536,-7.784292,-9.035657,-5.933097,-11.825473,-12.982606,-6.1936393,-10.298251,-8.941671,-10.4611435,-6.1833262,-7.5330296,-9.911731,-6.904777,-5.652365,-7.940377,-10.542343,-7.210861,-6.8752847,-7.5430403,-6.2189775,-6.9048533,-6.2915087,-5.274155,-7.1451616,-6.288507,-5.8752375,-5.8550277,-3.193714,-2.8548632,-2.7487652,-1.707979,-0.31854504,-1.5679575,-3.1124647,-3.2925737,0.0
